 ,Label,Area,Angle,Length
130,TKSH-2nd leg-left.jpg:1695-2267,0.072,-31.608,13.680
131,TKSH-2nd leg-right.jpg:1667-1961,0.064,-58.658,12.242
132,TKSH-2nd leg-right.jpg:1044-2567,0.073,-15.306,13.938
133,UKOQ-2nd leg-left.jpg:0824-2489,0.067,-14.499,12.749
134,UKOQ-2nd leg-left.jpg:1722-2151,0.074,-48.324,14.188
135,UKOQ-2nd leg-right.jpg:1619-1673,0.067,-39.469,12.689
136,UKOQ-2nd leg-right.jpg:1149-2076,0.074,-14.191,14.110
137,UNBX-2nd leg-left.jpg:1190-2475,0.057,-10.835,10.790
138,UNBX-2nd leg-left.jpg:1652-2474,0.062,-31.404,11.919
139,UNBX-2nd leg-right.jpg:1236-1889,0.056,-46.487,10.710
140,UNBX-2nd leg-right.jpg:0957-2276,0.063,-23.796,12.080
141,UQVJ-2nd leg-left.jpg:1535-1691,0.058,-13.461,11.010
142,UQVJ-2nd leg-left.jpg:1904-1751,0.066,-28.136,12.570
143,UQVJ-2nd leg-right.jpg:2007-2168,0.057,18.251,10.844
144,UQVJ-2nd leg-right.jpg:1422-2006,0.067,31.487,12.704
145,UWVR-2nd leg-left.jpg:1893-2726,0.060,-7.469,11.370
146,UWVR-2nd leg-left.jpg:1538-2688,0.065,-22.219,12.433
147,UWVR-2nd leg-right.jpg:1809-1814,0.061,-28.063,11.564
148,UWVR-2nd leg-right.jpg:1547-2072,0.066,-13.122,12.674
149,UYSP-2nd leg-left.jpg:0792-2357,0.067,-14.769,12.829
150,UYSP-2nd leg-left.jpg:1782-1782,0.073,-57.203,13.991
151,UYSP-2nd leg-right.jpg:1286-2267,0.066,-38.153,12.497
152,UYSP-2nd leg-right.jpg:1025-2570,0.072,-21.863,13.638
153,VFPH-2nd leg-left.jpg:1364-1566,0.066,14.141,12.550
154,VFPH-2nd leg-left.jpg:2537-1517,0.073,-35.040,13.884
155,VFPH-2nd leg-right.jpg:1935-1518,0.066,-62.342,12.533
156,VFPH-2nd leg-right.jpg:1112-2217,0.072,-10.042,13.796
157,WHVM-2nd leg-left.jpg:0780-2430,0.064,-19.269,12.292
158,WHVM-2nd leg-left.jpg:1373-2381,0.071,-31.577,13.602
159,WHVM-2nd leg-right.jpg:1436-2355,0.065,-35.766,12.402
160,WHVM-2nd leg-right.jpg:1142-2687,0.071,-19.110,13.495
161,WJST-2nd leg-left.jpg:2078-2618,0.063,-19.951,12.027
162,WJST-2nd leg-left.jpg:1628-2787,0.066,-41.924,12.637
163,WJST-2nd leg-right.jpg:1128-2168,0.062,-45.807,11.842
164,WJST-2nd leg-right.jpg:0737-2558,0.068,-20.108,12.943
165,WWFJ-2nd leg-left.jpg:1022-1896,0.054,-34.878,10.311
166,WWFJ-2nd leg-left.jpg:1592-1619,0.059,-53.339,11.192
167,WWFJ-2nd leg-right.jpg:1614-1854,0.053,-31.480,10.177
168,WWFJ-2nd leg-right.jpg:1145-2133,0.059,-3.135,11.212
169,XQBJ-2nd leg-left.jpg:0903-1914,0.064,-23.334,12.226
170,XQBJ-2nd leg-left.jpg:1473-1632,0.070,-52.078,13.354
171,XQBJ-2nd leg-right.jpg:0929-1553,0.064,-41.359,12.255
172,XQBJ-2nd leg-right.jpg:0762-1886,0.069,-28.241,13.225
173,XWCJ-2nd leg-left.jpg:1056-2114,0.058,-16.644,10.979
174,XWCJ-2nd leg-left.jpg:1877-1748,0.062,-51.566,11.863
175,XWCJ-2nd leg-right.jpg:1550-3492,0.058,-74.122,11.034
176,XWCJ-2nd leg-right.jpg:2466-2696,0.064,-6.071,12.191
177,YNZS-2nd leg-left.jpg:1886-2271,0.065,-20.897,12.387
178,YNZS-2nd leg-left.jpg:1458-2370,0.070,-38.871,13.329
179,YNZS-2nd leg-right.jpg:1679-3231,0.066,-23.662,12.497
180,YNZS-2nd leg-right.jpg:2043-2975,0.070,-6.733,13.410
181,YRUH-2nd leg-left.jpg:0623-1901,0.065,2.105,12.414
182,YRUH-2nd leg-left.jpg:1652-1454,0.072,-55.230,13.647
183,YRUH-2nd leg-right.jpg:2094-1778,0.064,-54.765,12.128
184,YRUH-2nd leg-right.jpg:0908-2274,0.071,12.132,13.541
185,YZUH-2nd leg-left.jpg:1446-1730,0.052,-13.839,9.991
186,YZUH-2nd leg-left.jpg:1916-1643,0.059,-38.973,11.224
187,YZUH-2nd leg-right.jpg:1734-2211,0.053,-38.965,10.151
188,YZUH-2nd leg-right.jpg:1134-2522,0.060,-0.314,11.462
189,ZFXN-2nd leg-left.jpg:1604-2091,0.062,-24.095,11.747
190,ZFXN-2nd leg-left.jpg:2019-2049,0.070,-40.528,13.405
191,ZFXN-2nd leg-right.jpg:1269-1817,0.062,-46.792,11.735
192,ZFXN-2nd leg-right.jpg:1080-2207,0.070,-29.595,13.435
