 ,Label,Area,Length
1,XDBU-1st leg-left.jpg:1572-2010,0.067,12.405
2,XDBU-1st leg-left.jpg:2112-2111,0.071,13.477
3,XDBU-1st leg-left.jpg:2047-1597,3.159,0
4,XKES-1st leg-left.jpg:2111-2693,0.07,12.739
5,XKES-1st leg-left.jpg:1359-2994,0.072,13.644
6,XKES-1st leg-left.jpg:1743-3361,3.121,0
7,XMEN-1st leg-left.jpg:1380-2007,0.06,11.365
8,XMEN-1st leg-left.jpg:1805-1865,0.064,12.176
9,XMEN-1st leg-left.jpg:1483-1518,2.421,0
10,XNIH-1st leg-left.jpg:2093-2595,0.059,11.157
11,XNIH-1st leg-left.jpg:1442-2798,0.065,12.321
12,XNIH-1st leg-left.jpg:1705-3168,2.893,0
13,XOAF-1st leg-left.jpg:1980-3164,0.061,11.613
14,XOAF-1st leg-left.jpg:1146-3212,0.065,12.248
15,XOAF-1st leg-left.jpg:1306-3633,2.629,0
16,XQBJ-1st leg-left.jpg:0576-2018,0.072,13.573
17,XQBJ-1st leg-left.jpg:1685-1548,0.073,13.836
18,XQBJ-1st leg-left.jpg:1279-1183,3.215,0
19,XQHC-1st leg-left.jpg:0819-3119,0.066,12.55
20,XQHC-1st leg-left.jpg:1719-2633,0.072,13.729
21,XQHC-1st leg-left.jpg:1413-2326,3.056,0
22,XRPL-1st leg-left.jpg:1547-1407,0.066,12.526
23,XRPL-1st leg-left.jpg:2114-1394,0.07,13.185
24,XRPL-1st leg-left.jpg:1908-0927,3.041,0
25,XVQB-1st leg-left.jpg:1076-2312,0.063,11.907
26,XVQB-1st leg-left.jpg:2000-1844,0.068,12.836
27,XVQB-1st leg-left.jpg:1582-1531,2.897,0
28,XWCJ-1st leg-left.jpg:1844-2585,0.064,12.154
29,XWCJ-1st leg-left.jpg:1052-2742,,
30,XWCJ-1st leg-left.jpg:1088-2750,,
31,YAKT-1st leg-left.jpg:0977-2357,0.055,10.338
32,YAKT-1st leg-left.jpg:1629-2051,0.059,11.136
33,YAKT-1st leg-left.jpg:1308-1771,2.296,0
34,YBYC-1st leg-left.jpg:1383-2040,0.07,13.281
35,YBYC-1st leg-left.jpg:1877-1914,0.07,13.351
36,YBYC-1st leg-left.jpg:1602-1476,2.754,0
37,YCTD-1st leg-left.jpg:1299-2936,0.055,10.38
38,YCTD-1st leg-left.jpg:1305-1524,0.061,11.547
39,YCTD-1st leg-left.jpg:0961-1801,2.445,0
40,YFAT-1st leg-left.jpg:0942-2813,0.071,13.471
41,YFAT-1st leg-left.jpg:1811-2424,0.077,14.591
42,YFAT-1st leg-left.jpg:1527-2040,3.83,0
43,YMRF-1st leg-left.jpg:1181-2625,0.058,11.006
44,YMRF-1st leg-left.jpg:1937-2447,0.067,12.648
45,YMRF-1st leg-left.jpg:1749-2007,2.244,0
46,YNBA-1st leg-left.jpg:1160-2187,0.067,12.738
47,YNBA-1st leg-left.jpg:1851-1827,0.068,12.924
48,YNBA-1st leg-left.jpg:1521-1501,3.436,0
49,YNFN-1st leg-left.jpg:1772-3350,0.065,12.273
50,YNFN-1st leg-left.jpg:2250-3060,0.067,12.71
51,YNFN-1st leg-left.jpg:2329-3541,2.913,0
52,YNZS-1st leg-left.jpg:1928-2849,0.068,12.847
53,YNZS-1st leg-left.jpg:1335-2939,0.072,13.569
54,YNZS-1st leg-left.jpg:1614-3391,3.049,0
61,YSQQ-1st leg-left.jpg:1395-1211,0.053,9.956
62,YSQQ-1st leg-left.jpg:2459-1742,0.061,11.5
63,YSQQ-1st leg-left.jpg:2409-1386,2.562,0
64,YUWR-1st leg-left.jpg:0833-2105,0.059,11.271
65,YUWR-1st leg-left.jpg:1685-1880,0.064,12.175
66,YUWR-1st leg-left.jpg:1389-1504,2.666,0
67,YYNS-1st leg-left.jpg:1134-2163,0.067,12.67
68,YYNS-1st leg-left.jpg:1646-2061,0.071,13.389
69,YYNS-1st leg-left.jpg:1383-1608,3.617,0
70,YZUH-1st leg-left.jpg:2195-2967,0.058,10.934
