 ,Label,Area,Angle,Length
156,VFPH-2nd leg-right.jpg:1121-2205,0.073,-9.718,13.878
157,WHVM-2nd leg-left.jpg:0905-2394,0.064,-13.716,12.268
158,WHVM-2nd leg-left.jpg:1377-2378,0.071,-31.773,13.557
159,WHVM-2nd leg-right.jpg:1436-2351,0.065,-36.129,12.400
160,WHVM-2nd leg-right.jpg:1143-2681,0.071,-19.217,13.471
161,WJST-2nd leg-left.jpg:2085-2615,0.063,-19.689,12.040
162,WJST-2nd leg-left.jpg:1626-2778,0.066,-41.266,12.635
163,WJST-2nd leg-right.jpg:1137-2168,0.062,-45.592,11.841
164,WJST-2nd leg-right.jpg:0737-2559,0.068,-20.180,12.899
165,WWFJ-2nd leg-left.jpg:1136-1847,0.054,-27.312,10.246
166,WWFJ-2nd leg-left.jpg:1599-1617,0.059,-53.514,11.264
167,WWFJ-2nd leg-right.jpg:1613-1862,0.054,-31.809,10.232
168,WWFJ-2nd leg-right.jpg:1142-2126,0.059,-3.131,11.227
169,XQBJ-2nd leg-left.jpg:0891-1917,0.064,-23.063,12.202
170,XQBJ-2nd leg-left.jpg:1473-1631,0.070,-52.155,13.301
171,XQBJ-2nd leg-right.jpg:0932-1557,0.065,-41.337,12.355
172,XQBJ-2nd leg-right.jpg:0761-1881,0.069,-28.149,13.232
173,XWCJ-2nd leg-left.jpg:1196-2072,0.058,-11.471,10.990
174,XWCJ-2nd leg-left.jpg:1884-1758,0.062,-51.435,11.905
175,XWCJ-2nd leg-right.jpg:1551-3494,0.058,-74.511,11.127
176,XWCJ-2nd leg-right.jpg:2463-2700,0.064,-5.475,12.194
177,YNZS-2nd leg-left.jpg:1884-2265,0.065,-21.017,12.363
178,YNZS-2nd leg-left.jpg:1457-2367,0.069,-38.692,13.255
179,YNZS-2nd leg-right.jpg:1674-3231,0.066,-23.728,12.503
180,YNZS-2nd leg-right.jpg:2051-2978,0.071,-6.237,13.460
181,YRUH-2nd leg-left.jpg:0606-1895,0.065,2.027,12.445
182,YRUH-2nd leg-left.jpg:1653-1449,0.071,-55.095,13.574
183,YRUH-2nd leg-right.jpg:2094-1784,0.064,-54.850,12.153
184,YRUH-2nd leg-right.jpg:0911-2274,0.071,12.262,13.548
185,YZUH-2nd leg-left.jpg:1439-1737,0.053,-13.471,10.057
186,YZUH-2nd leg-left.jpg:1914-1646,0.059,-38.710,11.264
187,YZUH-2nd leg-right.jpg:1731-2208,0.054,-39.128,10.215
188,YZUH-2nd leg-right.jpg:1134-2519,0.060,0.157,11.494
189,ZFKD-2nd leg-left.jpg:1341-2897,0.051,-57.679,9.675
190,ZFKD-2nd leg-left.jpg:1251-1721,0.058,47.480,11.050
191,ZFKD-2nd leg-right.jpg:1320-1517,0.051,-43.635,9.798
192,ZFKD-2nd leg-right.jpg:1113-1847,0.058,-24.844,11.002
