 ,Label,Area,Length
1,FEMALE-BF001-1st.jpg:0498-1445,0.132,10.369
2,FEMALE-BF001-1st.jpg:0517-1686,0.14,10.969
3,FEMALE-BF001-1st.jpg:0339-1625,1.909,0
4,FEMALE-BF002-1st.jpg:0546-1331,0.137,10.792
5,FEMALE-BF002-1st.jpg:0576-1552,0.144,11.285
6,FEMALE-BF002-1st.jpg:0399-1508,2.372,0
7,FEMALE-BF003-1st.jpg:0557-1327,0.142,11.122
8,FEMALE-BF003-1st.jpg:0565-1585,0.148,11.6
9,FEMALE-BF003-1st.jpg:0402-1551,2.852,0
10,FEMALE-BF004-1st.jpg:0559-1201,0.133,10.46
11,FEMALE-BF004-1st.jpg:0507-1536,0.143,11.246
12,FEMALE-BF004-1st.jpg:0353-1438,2.376,0
13,FEMALE-BF005-1st.jpg:0683-1284,0.102,8.028
14,FEMALE-BF005-1st.jpg:0649-1518,0.112,8.766
15,FEMALE-BF005-1st.jpg:0523-1448,1.356,0
16,FEMALE-BF006-1st.jpg:0496-1071,0.115,9.02
17,FEMALE-BF006-1st.jpg:0528-1222,0.12,9.406
18,FEMALE-BF006-1st.jpg:0376-1190,1.599,0
19,FEMALE-BF007-1st.jpg:0175-1374,,
20,FEMALE-BF007-1st.jpg:0152-1480,,
21,FEMALE-BF007-1st.jpg:0192-1409,,
22,FEMALE-BF008-1st right.jpg:0761-0784,0.163,12.831
23,FEMALE-BF008-1st right.jpg:1124-1009,0.185,14.514
24,FEMALE-BF008-1st right.jpg:1136-0805,5.041,0
25,FEMALE-BF009-1st right.jpg:0641-0566,0.158,12.376
26,FEMALE-BF009-1st right.jpg:0938-0696,0.184,14.461
27,FEMALE-BF009-1st right.jpg:0894-0485,4.171,0
28,FEMALE-BF010-1st.jpg:0464-1330,0.126,9.873
29,FEMALE-BF010-1st.jpg:0507-1537,0.136,10.692
30,FEMALE-BF010-1st.jpg:0331-1503,1.874,0
31,FEMALE-BF012-1st right.jpg:0596-1463,0.187,14.7
32,FEMALE-BF012-1st right.jpg:0431-1281,0.217,17.029
33,FEMALE-BF012-1st right.jpg:0359-1539,5.523,0
34,FEMALE-BF013-1st right.jpg:0580-1552,0.171,13.414
35,FEMALE-BF013-1st right.jpg:0401-1351,0.195,15.345
36,FEMALE-BF013-1st right.jpg:0323-1568,4.643,0
37,FEMALE-BF014-1st.jpg:0571-1263,0.116,9.098
38,FEMALE-BF014-1st.jpg:0551-1528,0.125,9.814
39,FEMALE-BF014-1st.jpg:0404-1455,1.496,0
40,FEMALE-BF015-1st right.jpg:0736-1339,0.18,14.12
41,FEMALE-BF015-1st right.jpg:0474-1266,0.202,15.836
42,FEMALE-BF015-1st right.jpg:0528-1503,4.868,0
43,FEMALE-BF016-1st right.jpg:0815-0526,0.172,13.473
44,FEMALE-BF016-1st right.jpg:1065-0690,0.204,16.006
45,FEMALE-BF016-1st right.jpg:1091-0448,4.821,0
