 ,Label,Area,Length
1,ACGN-1st leg-left.jpg:1908-3095,0.689,13.15
2,ACGN-1st leg-left.jpg:1376-2918,0.7,13.34
3,ACGN-1st leg-left.jpg:1384-3411,3.52,0
4,ACIU-1st leg-left.jpg:1455-2213,0.637,12.161
5,ACIU-1st leg-left.jpg:1985-2178,0.655,12.496
6,ACIU-1st leg-left.jpg:1809-1704,2.745,0
7,AGNG-1st leg-left.jpg:1670-1995,0.641,12.225
8,AGNG-1st leg-left.jpg:2157-1938,0.661,12.614
9,AGNG-1st leg-left.jpg:1918-1515,2.689,0
10,AIZJ-1st leg-left.jpg:1304-2510,0.635,12.119
11,AIZJ-1st leg-left.jpg:1829-2376,0.668,12.753
12,AIZJ-1st leg-left.jpg:1590-1948,3.058,0
13,AKPI-1st leg-left.jpg:1548-2247,0.727,13.863
14,AKPI-1st leg-left.jpg:2153-2219,0.742,14.159
15,AKPI-1st leg-left.jpg:1900-1695,2.714,0
16,AQZC-1st leg-left.jpg:1317-1149,0.616,11.745
17,AQZC-1st leg-left.jpg:1778-1236,0.64,12.215
18,AQZC-1st leg-left.jpg:1665-0733,2.281,0
19,ASOK-1st leg-left.jpg:1484-2384,0.638,12.169
20,ASOK-1st leg-left.jpg:2076-2340,0.681,12.996
21,ASOK-1st leg-left.jpg:1858-1863,2.566,0
22,ATEZ-1st leg-left.jpg:1266-1589,0.632,12.07
23,ATEZ-1st leg-left.jpg:1814-1551,0.672,12.821
24,ATEZ-1st leg-left.jpg:1521-1098,2.753,0
25,AZJJ-1st leg-left.jpg:2325-3437,0.59,11.261
26,AZJJ-1st leg-left.jpg:1778-3624,0.653,12.455
27,AZJJ-1st leg-left.jpg:2140-3975,2.712,0
28,BBRM-1st leg-left.jpg:0677-2609,0.648,12.366
29,BBRM-1st leg-left.jpg:1977-2187,0.68,12.966
30,BBRM-1st leg-left.jpg:1612-1861,2.705,0
31,BCSB-1st leg-left.jpg:1712-1703,0.625,11.93
32,BCSB-1st leg-left.jpg:2240-1724,0.669,12.763
33,BCSB-1st leg-left.jpg:2034-1258,2.874,0
34,BLLA-1st leg-left.jpg:2151-2960,0.659,12.573
35,BLLA-1st leg-left.jpg:1710-3102,0.666,12.695
36,BLLA-1st leg-left.jpg:1989-3486,3.118,0
37,BYLH-1st leg-left.jpg:1464-2528,0.674,12.856
38,BYLH-1st leg-left.jpg:2177-2739,0.701,13.384
39,BYLH-1st leg-left.jpg:2137-2250,3.476,0
40,BZCS-1st leg-left.jpg:0914-2349,0.645,12.312
41,BZCS-1st leg-left.jpg:1736-2175,0.673,12.835
42,BZCS-1st leg-left.jpg:1459-1743,2.475,0
43,CAPF-1st leg-left.jpg:2259-3116,0.739,14.107
44,CAPF-1st leg-left.jpg:1661-3054,0.764,14.575
45,CAPF-1st leg-left.jpg:1815-3630,3.108,0
46,CAXC-1st leg-left.jpg:0966-2042,0.621,11.853
47,CAXC-1st leg-left.jpg:1697-1752,0.644,12.296
48,CAXC-1st leg-left.jpg:1330-1404,2.62,0
49,CBMA-1st leg-left.jpg:1158-3033,0.623,11.877
50,CBMA-1st leg-left.jpg:1454-1710,0.674,12.855
51,CBMA-1st leg-left.jpg:1018-1809,3.384,0
52,CBRE-1st leg-left.jpg:1274-2360,0.582,11.107
53,CBRE-1st leg-left.jpg:1949-1928,0.607,11.579
54,CBRE-1st leg-left.jpg:1564-1684,2.552,0
55,CCQV-1st leg-left.jpg:1833-3104,0.653,12.461
56,CCQV-1st leg-left.jpg:0684-3020,0.735,14.03
57,CCQV-1st leg-left.jpg:0699-3486,3.05,0
